Time,RawValue,FilteredValue,EnvelopeValue,Label
1.5710289478302002,303.0,32.0,1024.0,relax
1.5719654560089111,302.0,113.0,12769.0,relax
1.5759813785552979,302.0,179.0,32041.0,relax
1.5759813785552979,306.0,185.0,0.0,relax
1.5798563957214355,306.0,153.0,23409.0,relax
1.5798563957214355,309.0,111.0,12321.0,relax
1.5798563957214355,311.0,76.0,5776.0,relax
1.5838170051574707,311.0,51.0,2601.0,relax
1.5838170051574707,309.0,32.0,1024.0,relax
1.5838170051574707,307.0,17.0,289.0,relax
1.587813138961792,305.0,5.0,0.0,relax
1.587813138961792,303.0,-5.0,0.0,relax
1.5918262004852295,303.0,-13.0,169.0,relax
1.5918262004852295,304.0,-20.0,400.0,relax
1.5918262004852295,302.0,-26.0,676.0,relax
1.5966248512268066,304.0,-32.0,1024.0,relax
1.5966248512268066,305.0,-38.0,1444.0,relax
1.6006858348846436,308.0,-43.0,1849.0,relax
1.6006858348846436,309.0,-49.0,2401.0,relax
1.6006858348846436,310.0,-53.0,2809.0,relax
1.6046557426452637,310.0,-58.0,3364.0,relax
1.6046557426452637,310.0,-62.0,3844.0,relax
1.6046557426452637,307.0,-65.0,4225.0,relax
1.6088099479675293,306.0,-67.0,4489.0,relax
1.6088099479675293,305.0,-66.0,4356.0,relax
1.6128625869750977,303.0,-63.0,3969.0,relax
1.6128625869750977,303.0,-58.0,3364.0,relax
1.6128625869750977,303.0,-52.0,2704.0,relax
1.616809368133545,305.0,-41.0,1681.0,relax
1.616809368133545,306.0,-31.0,961.0,relax
1.6211395263671875,308.0,-20.0,400.0,relax
1.6211395263671875,309.0,-11.0,121.0,relax
1.6211395263671875,310.0,-3.0,0.0,relax
1.6252117156982422,310.0,2.0,0.0,relax
1.6252117156982422,309.0,6.0,0.0,relax
1.6252117156982422,307.0,6.0,0.0,relax
1.6292998790740967,305.0,4.0,0.0,relax
1.6292998790740967,305.0,0.0,0.0,relax
1.6292998790740967,303.0,-3.0,0.0,relax
1.6333112716674805,302.0,-7.0,0.0,relax
1.6333112716674805,302.0,-12.0,144.0,relax
1.634145736694336,303.0,-16.0,256.0,relax
1.6371402740478516,305.0,-17.0,289.0,relax
1.6371402740478516,307.0,-18.0,324.0,relax
1.641472339630127,310.0,-16.0,256.0,relax
1.641472339630127,311.0,-12.0,144.0,relax
1.6424212455749512,311.0,-7.0,0.0,relax
1.6453156471252441,310.0,-4.0,0.0,relax
1.6453156471252441,308.0,0.0,0.0,relax
1.6453156471252441,306.0,4.0,0.0,relax
1.6502039432525635,304.0,8.0,0.0,relax
1.6502039432525635,303.0,12.0,144.0,relax
1.6502039432525635,303.0,15.0,225.0,relax
1.6532220840454102,302.0,17.0,289.0,relax
1.6532220840454102,303.0,19.0,361.0,relax
1.6573171615600586,305.0,19.0,361.0,relax
1.6573171615600586,307.0,18.0,324.0,relax
1.658154010772705,310.0,16.0,256.0,relax
1.6623492240905762,311.0,13.0,169.0,relax
1.6623492240905762,310.0,7.0,0.0,relax
1.6623492240905762,309.0,1.0,0.0,relax
1.6653649806976318,310.0,-3.0,0.0,relax
1.6653649806976318,307.0,-8.0,0.0,relax
1.6653649806976318,305.0,-12.0,144.0,relax
1.6693642139434814,304.0,-15.0,225.0,relax
1.6693642139434814,304.0,-15.0,225.0,relax
1.6738793849945068,303.0,-13.0,169.0,relax
1.6738793849945068,303.0,-9.0,0.0,relax
1.6738793849945068,305.0,-5.0,0.0,relax
1.677973985671997,306.0,1.0,0.0,relax
1.677973985671997,306.0,6.0,0.0,relax
1.677973985671997,309.0,12.0,144.0,relax
1.682844877243042,310.0,16.0,256.0,relax
1.682844877243042,310.0,19.0,361.0,relax
1.682844877243042,310.0,20.0,400.0,relax
1.686371088027954,308.0,18.0,324.0,relax
1.686371088027954,306.0,15.0,225.0,relax
1.6908283233642578,305.0,11.0,121.0,relax
1.6908283233642578,304.0,5.0,0.0,relax
1.6908283233642578,303.0,0.0,0.0,relax
1.6949882507324219,302.0,-5.0,0.0,relax
1.6949882507324219,302.0,-9.0,0.0,relax
