Time,RawValue,Label
0.0,313.18968970026015,contract
0.001,400.5558060615179,contract
0.002,301.74915194660446,contract
0.003,222.65098722775056,contract
0.004,306.5155289606841,contract
0.005,287.4241017154825,contract
0.006,345.9488860549343,contract
0.007,279.74056094275477,contract
0.008,289.83661193922126,contract
0.009,326.3780458383576,contract
0.01,343.9651263174978,contract
0.011,304.486968009682,contract
0.012,311.1542497583326,contract
0.013,320.2880022907374,contract
0.014,331.19193014340965,contract
0.015,311.1241399784721,contract
0.016,298.1103996422551,contract
0.017,269.669015158283,contract
0.018,282.19235917029744,contract
0.019,359.88139969200057,contract
0.02,312.1128500506983,contract
0.021,297.2987246618107,contract
0.022,291.0285203404822,contract
0.023,272.60114477304836,contract
0.024,331.52839688899627,contract
0.025,314.3549848647341,contract
0.026,297.1021017208735,contract
0.027,275.28300730601416,contract
0.028,266.0251440172664,contract
0.029,357.8701601647946,contract
0.03,359.05036340098684,contract
0.031,309.2831660176871,contract
0.032,301.09592287386255,contract
0.033,265.319369034137,contract
0.034,352.9241910608869,contract
0.035,321.13205068092805,contract
0.036,281.21899535576614,contract
0.037,298.6295372958551,contract
0.038,326.4080752706569,contract
0.039,294.85417764994554,contract
0.04,278.2645591215508,contract
0.041,306.2211417077596,contract
0.042,285.26590435106897,contract
0.043,345.66911555038564,contract
0.044,319.13621509418095,contract
0.045,293.43162606128834,contract
0.046,339.08584272605543,contract
0.047,277.7375188955662,contract
0.048,270.1740076209527,contract
0.049,299.27313813526865,contract
0.05,345.68896972081586,contract
0.051,336.26630519182606,contract
0.052,287.9436815920667,contract
0.053,260.17519574218966,contract
0.054,345.72811972004365,contract
0.055,282.88311245604035,contract
0.056,276.8937798564199,contract
0.057,311.3002057671622,contract
0.058,311.09633218621246,contract
0.059,306.2903492120522,contract
0.06,312.24507604779234,contract
0.061,301.9422033487372,contract
0.062,289.82279161999145,contract
0.063,317.06024314837487,contract
0.064,304.73303840476666,contract
0.065,321.1163092302594,contract
0.066,337.10319205895325,contract
0.067,310.53660839882326,contract
0.068,311.53331735930476,contract
0.069,288.6479030452174,contract
0.07,314.7646079347615,contract
0.071,281.293564147954,contract
0.072,292.61272295541295,contract
0.073,298.08827824484575,contract
0.074,308.81300375592764,contract
0.075,286.47322716874027,contract
0.076,303.86568827618885,contract
0.077,337.8652366863699,contract
0.078,325.7698219898894,contract
0.079,303.35003364610725,contract
0.08,288.4083952061534,contract
0.081,294.74623726513323,contract
0.082,332.53666424632115,contract
0.083,326.5801839146798,contract
0.084,275.4747050713743,contract
0.085,291.8270790264252,contract
0.086,289.38665032828993,contract
0.087,334.59530981194655,contract
0.088,307.0605212203285,contract
0.089,298.4390828019226,contract
0.09,284.8050963745391,contract
0.091,317.6572269884698,contract
0.092,321.172504372046,contract
0.093,280.28471654975795,contract
0.094,317.96054589813514,contract
0.095,356.80263324956996,contract
0.096,301.69322840137676,contract
0.097,297.2426443317672,contract
0.098,295.73905152140605,contract
0.099,270.1515457110313,contract
0.1,341.9908778851639,contract
0.101,325.7560670211717,contract
0.102,287.8914802803726,contract
0.103,303.96723015873874,contract
0.104,304.3630852963913,contract
0.105,304.540947886202,contract
0.106,313.4056427228332,contract
0.107,314.41138365120685,contract
0.108,309.50884373071796,contract
0.109,300.73509762821436,contract
0.11,299.56456033724584,contract
0.111,306.36936175956043,contract
0.112,286.0373970555485,contract
0.113,314.9347641908928,contract
0.114,301.6381262457688,contract
0.115,300.8490610631491,contract
0.116,291.32954750910443,contract
0.117,350.7802438100478,contract
0.118,379.90392149080594,contract
0.119,287.14219294920935,contract
0.12,270.4207926720442,contract
0.121,272.4940129375097,contract
0.122,281.57357962406655,contract
0.123,275.3622169698017,contract
0.124,290.88809087439114,contract
0.125,314.0424471190793,contract
0.126,272.1516162638628,contract
0.127,421.7711090300851,contract
0.128,352.53292299215684,contract
0.129,284.7766544218244,contract
0.13,300.85116534741746,contract
0.131,300.02422927206914,contract
0.132,305.90587389596527,contract
0.133,280.4159146864722,contract
0.134,273.5681548186571,contract
0.135,309.8862387317211,contract
0.136,317.7130682826618,contract
