Time,RawValue,Label
0.0,343.70101896255164,contract
0.001,319.32156400973986,contract
0.002,280.81714445257916,contract
0.003,358.0795452253486,contract
0.004,398.5117229929568,contract
0.005,442.3691325561107,contract
0.006,196.38187710289523,contract
0.007,81.63047285595245,contract
0.008,289.4351604390759,contract
0.009,310.04440800000947,contract
0.01,347.2466189171981,contract
0.011,389.74035529154725,contract
0.012,307.7751826394495,contract
0.013,248.35358493573042,contract
0.014,236.00709806098828,contract
0.015,299.0927268099518,contract
0.016,338.2734269439034,contract
0.017,338.4082363678876,contract
0.018,353.71733059684857,contract
0.019,331.29939310956235,contract
0.02,295.1855535338745,contract
0.021,290.81993079470163,contract
0.022,251.970419857787,contract
0.023,277.9306993403716,contract
0.024,314.9395555656524,contract
0.025,303.2831211521551,contract
0.026,345.9006867640868,contract
0.027,337.89212363424394,contract
0.028,302.6101565124464,contract
0.029,269.7466495003998,contract
0.03,289.4097646206366,contract
0.031,296.8944171676903,contract
0.032,270.21847559608835,contract
0.033,290.9740542249234,contract
0.034,293.36873629797384,contract
0.035,352.844015148577,contract
0.036,398.196168663512,contract
0.037,419.2297495565815,contract
0.038,363.9964833581832,contract
0.039,199.75873735806226,contract
0.04,276.4142165983503,contract
0.041,306.476983675675,contract
0.042,227.2050321941924,contract
0.043,279.977338467072,contract
0.044,356.61463833701134,contract
0.045,360.3707663323498,contract
0.046,289.612176982455,contract
0.047,288.1190648790339,contract
0.048,309.6093176924039,contract
0.049,301.42364355041195,contract
0.05,247.181411909157,contract
0.051,290.2285043336662,contract
0.052,325.4101312200807,contract
0.053,272.9278770842112,contract
0.054,334.37178225643794,contract
0.055,296.5622336393985,contract
0.056,354.4308225113778,contract
0.057,420.1725911864944,contract
0.058,248.41197065731413,contract
0.059,257.83453782051515,contract
0.06,300.97612187418014,contract
0.061,304.88978612460346,contract
0.062,290.67007865463967,contract
0.063,267.63249970027323,contract
0.064,315.13695049339356,contract
0.065,340.32125993338667,contract
0.066,343.7131912874638,contract
0.067,280.44918144847867,contract
0.068,348.4275237102475,contract
0.069,473.32607710421036,contract
0.07,475.93037284869587,contract
0.071,334.2700754733856,contract
0.072,36.2283158113042,contract
0.073,60.227548294216035,contract
0.074,247.41659440873588,contract
0.075,239.08612754052461,contract
0.076,312.9119951342299,contract
0.077,344.9202719962627,contract
0.078,271.2066556778313,contract
0.079,281.5864449774972,contract
0.08,306.68605506748804,contract
0.081,360.48335905819374,contract
0.082,400.24843263775193,contract
0.083,406.6650038615877,contract
0.084,329.52542494248314,contract
0.085,219.6005523702571,contract
0.086,333.23520493623016,contract
0.087,325.5253080020017,contract
0.088,206.83296345623177,contract
0.089,305.3456459221461,contract
0.09,392.94024984899545,contract
0.091,365.41132482665734,contract
0.092,248.64354183523082,contract
0.093,230.81609054970343,contract
0.094,316.4320628582757,contract
0.095,317.0624247935143,contract
0.096,327.39301027877616,contract
0.097,295.07754084799524,contract
0.098,314.45397026846564,contract
0.099,330.82244183595344,contract
0.1,221.39341028992996,contract
0.101,275.7231786860141,contract
0.102,339.9931766090982,contract
0.103,311.7488140266551,contract
0.104,316.6175287131781,contract
0.105,312.092753110239,contract
0.106,307.9725587646353,contract
0.107,297.4588966879315,contract
0.108,290.0459725865084,contract
0.109,322.7278757294638,contract
0.11,335.24185107739953,contract
0.111,293.37222887626007,contract
